RMSE,MAE
867.9130940566196,879.1731136322021
818.4574233149282,773.221975517273
1071.19014121868,809.7062257766723
1232.8975385602926,888.0071210861206
909.4827438770675,784.4478160858155
941.353398386995,983.9283351898193
1123.4040395112736,879.1731136322021
867.9130940566198,641.8785945892334
1029.6204913982322,783.2518995285034
821.2466963190851,957.4740089416504
917.3377193450564,904.4315233230591
860.0581185886309,799.6763017654418
914.5794917941543,746.6338161468506
560.6590029473444,648.2730728149414
1018.9762429260867,885.5675918579102
997.7498368883049,884.3716753005981
698.3507212470183,977.5338569641114
1117.8565389562148,737.7998086929322
1219.4950625372448,657.1070802688598
1162.2154617808194,846.3243091583251
1089.6583197055597,888.0071210861206
596.7121976659882,947.4440849304199
831.8598993379758,889.2030376434326
1018.9762429260866,1072.259154510498
966.7933900867478,741.569087600708
1008.3630399071957,1025.7449802398683
807.8442202960374,633.0445871353149
1110.001563488226,816.1007040023803
761.1778225585027,552.3518587112427
596.7121976659882,816.1007040023803
993.5672966795885,947.4440849304199
1084.5926172417276,799.6763017654418
716.8188997338979,983.9283351898193
930.7401953681041,757.9934898376465
1159.4572342299173,982.7324186325073
1089.6583197055597,793.2818235397339
903.9662887752635,983.9283351898193
1068.431913667778,790.8422943115235
920.1269923492131,721.3754064559937
831.8598993379759,1025.7449802398683
716.8188997338979,499.30937309265136
878.5262970755105,799.6763017654418
1131.2590149792622,631.848670578003
1170.0704372488083,721.3754064559937
870.6713216075217,789.6463777542115
1084.5926172417278,789.6463777542115
980.1648206565408,862.7487113952636
961.696642169661,879.1731136322021
889.1395000944015,852.7187873840332
761.1778225585028,616.6201848983765
1170.070437248808,1045.804828262329
1271.7089608298384,757.9934898376465
1037.4444214129662,711.3454824447632
993.5672966795883,631.848670578003
988.0197961245294,983.9283351898193
961.6966421696612,711.3454824447632
1232.8975385602926,800.872218322754
930.740195368104,736.6038921356201
982.9540936606975,704.9510042190552
982.9540936606976,894.4015993118286
1005.6048123562936,809.7062257766723
909.4827438770677,793.2818235397339
1131.2590149792622,800.872218322754
807.8442202960374,1065.86467628479
1131.2590149792622,696.1169967651367
922.8852199001152,784.4478160858155
807.8442202960374,888.0071210861206
1071.19014121868,746.6338161468506
1180.683640267699,884.3716753005981
980.1648206565408,799.6763017654418
815.6991957640263,711.3454824447632
969.5516176376499,704.9510042190552
969.5516176376499,721.3754064559937
1021.7655159302434,789.6463777542115
961.6966421696612,721.3754064559937
1285.111436852886,894.4015993118286
961.696642169661,983.9283351898193
906.7245163261654,688.5266019821167
961.696642169661,720.1794898986816
1060.5769381997893,736.6038921356201
1162.2154617808196,1150.5600498199462
596.7121976659882,879.1731136322021
860.0581185886309,774.417892074585
761.1778225585027,633.0445871353149
870.6713216075217,726.5739681243897
1170.0704372488083,947.4440849304199
1050.8468974360137,888.0071210861206
909.4827438770675,730.2094139099121
1261.0957578109476,720.1794898986816
1032.3787189491343,879.1731136322021
1232.8975385602926,814.9047874450683
1008.3630399071957,992.7623426437378
1170.0704372488083,816.1007040023803
969.5516176376499,967.5039329528809
1040.233694417123,783.2518995285034
